onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
596.42431640625	0.0002	electrical_stimulation	n/a	n/a	1977189	biphasic	RA2-RA3	2-3	6.0 mA	n/a	good	n/a
601.00732421875	0.0002	electrical_stimulation	n/a	n/a	1986575	biphasic	RA2-RA3	2-3	6.0 mA	n/a	good	n/a
605.99609375	0.0002	electrical_stimulation	n/a	n/a	1996792	biphasic	RA2-RA3	2-3	6.0 mA	n/a	good	n/a
609.8330078125	0.0002	electrical_stimulation	n/a	n/a	2004650	biphasic	RA2-RA3	2-3	6.0 mA	n/a	good	n/a
614.35302734375	0.0002	electrical_stimulation	n/a	n/a	2013907	biphasic	RA2-RA3	2-3	6.0 mA	n/a	good	n/a
619.39404296875	0.0002	electrical_stimulation	n/a	n/a	2024231	biphasic	RA2-RA3	2-3	6.0 mA	n/a	good	n/a
623.75244140625	0.0002	electrical_stimulation	n/a	n/a	2033157	biphasic	RA2-RA3	2-3	6.0 mA	n/a	good	n/a
628.298828125	0.0002	electrical_stimulation	n/a	n/a	2042468	biphasic	RA2-RA3	2-3	6.0 mA	n/a	good	n/a
632.77197265625	0.0002	electrical_stimulation	n/a	n/a	2051629	biphasic	RA2-RA3	2-3	6.0 mA	n/a	good	n/a
637.13525390625	0.0002	electrical_stimulation	n/a	n/a	2060565	biphasic	RA2-RA3	2-3	6.0 mA	n/a	good	n/a
641.84814453125	0.0002	electrical_stimulation	n/a	n/a	2070217	biphasic	RA2-RA3	2-3	6.0 mA	n/a	good	n/a
656.73779296875	0.0002	electrical_stimulation	n/a	n/a	2100711	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
660.5341796875	0.0002	electrical_stimulation	n/a	n/a	2108486	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
665.298828125	0.0002	electrical_stimulation	n/a	n/a	2118244	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
671.2001953125	0.0002	electrical_stimulation	n/a	n/a	2130330	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
675.97119140625	0.0002	electrical_stimulation	n/a	n/a	2140101	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
680.6103515625	0.0002	electrical_stimulation	n/a	n/a	2149602	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	artifact fixed when referencing
683.853515625	0.0002	electrical_stimulation	n/a	n/a	2156244	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
689.0615234375	0.0002	electrical_stimulation	n/a	n/a	2166910	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
694.978515625	0.0002	electrical_stimulation	n/a	n/a	2179028	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
698.81005859375	0.0002	electrical_stimulation	n/a	n/a	2186875	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
